Country,2006,2005,2004,2003,2002,2001,2000,1999,1998
Algeria,,,,69.6,68.2,73.9,75.7,77.6,78
Angola,61.5,62.5,61.2,62.1,61.6,62.4,64.7,64.7,64
Benin,72.6,74.3,75.1,64.1,63.6,65.5,66,66.2,66.5
Botswana,,,,,28.7,34.9,29.7,32.1,32.7
Burkina Faso,42.7,43.5,43.3,40.5,40.9,42.9,42.7,41.8,41.7
Burundi,,,,,,80.2,81.3,80.9,83.2
Cape Verde,,,,,73.4,69.7,76.8,73.7,
Cameroon,68.8,68.7,68.9,68.6,68.6,69.5,70.5,71,71
Central African Republic,,,,,,,83.5,81.9,
Chad,,,,82.7,83.6,83.4,83.1,83.4,82.3
Comoros,85.6,86.1,85.6,85.3,84.5,84,95.7,95.8,95.8
Democratic Republic of the Congo,80.7,77.9,76.6,74.9,76.7,77.7,68.6,71.1,68.5
Republic of Congo,,,,78.1,77.5,79.5,80.3,,
Cote d'Ivoire,,,,,81.5,81.4,84.3,81.9,85.3
Djibouti,,,,74.1,74.7,74.6,74.4,95,76.3
Egypt,68.3,68.2,69.1,65.7,70,70.7,70.1,69.1,67.7
Equatorial Guinea,42.3,42.1,41.2,40.2,27.9,29.3,30.4,32.4,33
Eritrea,73.2,72.2,67.4,63.3,64.3,64.9,65.9,65.2,64.2
Ethiopia,84.9,85.8,85.4,85.7,85.6,84.9,83.7,83.9,81.9
Gabon,85.5,83.7,,,,,,,
Gambia,96.3,96.1,95.7,95.6,96.6,96.7,96.5,96.1,96.1
Ghana,87,88.4,88,87.8,84.3,84.7,85.7,86.6,86.1
Guinea,76.7,78.9,79.6,78.6,70.8,73.6,74.8,67.7,72.1
Guinea Bissau,76.7,77.2,75.9,75.6,74.5,73.9,74.3,74,74.3
Kenya,63.6,63,65.9,63.6,67.4,,,,
Lesotho,82.2,80.4,80.3,79.8,80.3,86.3,88.4,86.6,87.1
Liberia,87.2,86.7,87.5,87.7,87.4,89,89.1,88.6,89
Libya,85.2,84.4,85.4,84.6,83.5,85.3,84,84.1,84
Madagascar,,,81.9,82.7,83.1,83,83.8,83.6,82
Malawi,69.6,68.4,67.8,67.2,67.2,67.9,68.6,62.1,60.3
Mali,81.9,82.7,81.9,82,81.4,82.4,82.5,82.1,82.1
Mauritania,,,,78.3,86.8,87.7,85,91,87.9
Mauritius,22.8,21.1,21.5,21.7,22.9,21.7,22.4,23.9,25
Morocco,,,,75.6,76.8,79.6,83.5,83.3,82.2
Mozambique,,,,,71.4,77.3,77.9,79.3,
Namibia,83.7,82.8,82.4,81.3,80.8,80.9,80.5,78.8,77.3
Niger,80.6,80.8,80.8,79.7,80.3,80.5,81.5,82.6,83.6
Nigeria,86.3,85.3,85.5,85.9,84.4,83.5,84.5,84.2,83.3
Rwanda,83.3,83.4,86.9,87,86.9,87,86.9,86.7,87.1
Sao Tome and Principe,,,,,,,,62.1,67.9
Seychelles,63,83.4,,,,,,,
Senegal,72,71.9,75,75.8,76.5,77.1,77.5,77.8,81.1
Sierra Leone,85.8,86.9,86,86.2,86.7,84.9,86.7,87.9,88.8
Somalia,,,,,36.7,37.3,37.7,32.9,32.3
South Africa,91.6,92.2,91.9,92.8,92.6,92.5,89.3,90.2,92.2
South Sudan,65,65.5,65.7,66.5,68.3,69.3,69.3,70.1,71.5
Sudan,85.8,85.5,85.2,85.3,85.6,86,86.4,85.7,85.6
Swaziland,,,,74.9,77,79.6,82.2,84,86.9
Tanzania,65,65.5,65.7,66.5,68.3,69.3,69.3,70.1,71.5
Tunisia,,,,,66.7,67.3,67.7,62.9,62.3
Uganda,79.7,78.8,78.4,78.3,77.8,77.9,75.5,73.8,77.3
Zambia,,,,68.3,66.8,77.7,75,81,77.9
Zimbabwe,,,,84.3,83.8,77.7,75,81,77.9
